,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
Acetic acid,22.27691,-49.86894,10.726412,8.003728,2.580628,-4.5779877,-5.111226,3.6480024,-9.553197,7.8340564,27.080824,5.711856,83.92229,13.364209,-17.899609,-16.946785,18.809933,-5.8397565,-0.59185964,-18.401472,10.471028,-5.742428,-7.6023827,0.008446961,-15.293272,16.015713,-1.0511813,-29.916891,-47.770554,-16.46486,-3.3562381,-5.039489,-20.288225,0.433301,-14.654721,22.682337,3.05839,25.704288,3.7080476,-1.0621907,-6.335701,-40.607285,-4.844042,21.279757,-10.8537035,1.6785113,4.5933576,-2.0637317,-4.865136,9.293543,-26.031101,0.27293375,-40.205933,-3.3073397,12.707805,3.5065615,-19.97995,7.1379747,-7.0108223,24.889086,16.37701,1.5225079,13.620105,-3.9022884,12.672586,6.0377603,-5.06157,-41.20774,10.759143,2.3088887,-5.215743,3.5505586,-2.057212,4.796154,2.220108,-14.438316,15.749231,-13.350051,7.665704,8.81098,8.372193,40.08916,-0.048510224,5.091361,53.829044,-11.520726,28.495682,-12.030445,9.116847,-5.3662376,-2.2679698,6.7879834,4.786618,-40.269314,18.819082,15.621073,-8.554239,0.5489722,23.890133,15.752784,7.27961,-15.3744335,4.8513355,-45.659542,-32.494316,44.04583,1.5457373,-27.411554,-17.269209,-0.9423722,18.426062,-36.553364,9.113711,3.6264393,3.0988457,9.602483,3.9340827,36.97581,-12.280464,7.5819993,-3.351431,-17.785042,9.138505,-2.7338128,2.2813196,1.1524074,29.685163,9.745856,-14.999323,-20.699268,90.85924,-38.953007,24.593262,2.4705212,25.159742,10.153732,17.612507,-49.11934,-11.966708,-3.8410199,6.274537,0.14562422,-9.299474,-59.493523,-8.790683,31.100367,-10.105171,53.68376,-7.1348543,-5.0421104,14.188446,41.488247,1.2849832,34.794205,-5.5567303,-14.277289,-27.43701,17.269453,1.5282854,1.0467043,-28.340002,2.1560736,-25.368095,17.578136,4.2802386,1.3062586,1.9304767,-6.532084,27.985838,-8.075182,56.014015,15.033422,-19.108463,4.2149067,4.050099,-2.346789,9.126955,8.789054,-20.026997,-0.3878819,9.70725,1.2080126,4.6432333,-12.994354,35.995483,-11.652183,8.170945,-4.7701316,10.039446,3.7253337,-13.872312,16.871326,-13.111171,1.8471369,-7.294089,12.564446,-4.4361176,3.4787908,-2.640978,2.878905
Oestradiol,8.940853,-60.725483,4.3479285,13.925497,-1.1488746,1.0842038,-6.786633,3.6411383,-4.3876467,15.285435,36.077286,4.967959,108.57004,24.038332,-20.514086,-20.823599,18.437449,-6.821172,-1.1252233,-18.48187,3.5292237,1.2189415,-1.3241534,-0.32985738,-9.152443,23.488049,8.077742,-41.74863,-65.86323,-24.73006,-13.244882,-11.258892,-33.5192,-16.456264,-13.495002,23.402958,8.011543,29.470293,7.8580766,0.5977996,-2.7573516,-46.19428,-4.1165676,32.032616,-10.425534,2.3986514,9.211364,-5.381657,1.3851993,16.013784,-23.027842,-5.6275396,-43.697884,2.1026573,6.1244874,5.270071,-31.70673,4.617133,-6.568371,27.523855,26.162592,-1.7999814,5.760315,6.530832,11.04763,1.6810951,-0.70964223,-53.44489,8.320252,2.432934,0.8931806,2.9911196,3.2938244,11.483801,3.532537,-1.274366,12.0952215,-12.494081,7.000799,13.168557,12.186336,51.994034,-1.957691,0.9312576,69.45729,-7.3283477,36.38141,-11.213139,21.913214,-4.9715447,-1.9507196,14.135139,0.18131116,-59.22238,25.586493,29.574339,-5.8327045,1.6450692,34.429493,31.094654,9.745434,-8.2379465,-2.6341655,-51.641853,-43.64729,59.587807,-0.54543084,-32.61452,-11.606804,-1.644588,5.3819776,-43.356976,7.9465294,1.670091,2.0322392,9.345533,3.5707562,54.70288,-19.424074,11.141752,-3.1535246,-30.807642,3.0757213,0.7160731,11.378683,-0.57599664,44.84243,9.193054,-27.391,-27.62694,117.59524,-45.526302,32.11097,-0.8394229,40.218822,7.9582305,6.18754,-56.462822,-13.187108,-2.0906098,-0.20513546,2.8555152,-7.52728,-77.23167,-6.2526784,34.13718,-7.9999137,66.31244,-9.214295,-4.7306533,12.583578,56.916008,4.3101754,43.64077,-12.080039,-20.059937,-33.418114,27.58881,3.2057374,0.015738497,-29.510897,1.3480531,-43.970486,26.574335,6.1025915,14.870687,7.4988375,-11.191332,38.409874,-7.978626,68.37016,4.8975987,-10.581294,5.4752493,-0.112378605,-4.6718364,18.675186,3.1239522,-21.019419,-0.41474622,9.3073435,-2.0804746,5.8302255,-7.790613,50.881123,-7.5535936,17.135763,1.7669312,-2.599727,9.899684,-19.963284,12.8227005,-7.2894273,2.8571172,-6.4547815,4.1680346,-6.492366,0.0502524,-10.070802,8.07385
Pyramidone,9.482774,-50.76162,8.919272,7.423939,6.216028,-4.6432023,-3.406933,4.3233495,-14.731266,17.405909,27.138475,7.0842705,95.46731,21.23234,-24.682755,-18.728466,23.910175,-5.215754,-4.2779284,-22.334661,12.201909,-1.8049238,-6.4751616,-10.670718,-5.5597386,14.106456,6.185593,-38.798775,-53.798874,-20.868616,-2.832291,-11.264001,-28.314562,-9.852757,-7.265294,19.015524,12.61903,33.52678,11.3845215,-5.368123,-6.2670345,-39.85797,-5.1372952,23.207724,-3.927449,-2.885232,5.220621,-5.5957084,-9.552358,15.142262,-30.8799,-5.169121,-48.767155,-6.179749,11.771816,4.954532,-29.8118,5.6224957,-4.849818,28.76494,21.517864,0.020057179,9.218386,4.760712,6.2798734,9.341946,-0.45784625,-52.433918,10.146246,8.011938,-4.0845747,5.1581783,-0.24093406,10.545391,-0.78336334,-6.1795793,21.346512,-11.922009,9.548626,6.882609,-2.1785119,52.526905,-4.960647,9.39601,64.1885,-16.550007,37.98742,-9.219661,11.254158,0.6035427,1.1362791,3.3461792,2.3725774,-50.490257,17.11165,25.866783,-20.910091,1.5856075,26.465778,21.82384,6.799367,-24.339308,9.410798,-51.9418,-34.37807,51.752716,1.4593381,-23.274733,-14.565257,-0.03659922,17.640678,-44.45969,12.371412,10.859044,2.4033473,12.749832,-1.1745257,42.28906,-13.970843,12.860977,-6.1079497,-23.322428,5.692723,-6.018479,4.1329284,3.150916,34.126003,6.695034,-14.543738,-18.793486,100.55289,-40.557564,24.250626,6.141178,38.94932,18.156416,16.201696,-49.090553,-8.378649,-0.28042746,-2.0905952,-2.1944864,-9.6909,-70.4849,-11.460245,33.192303,-7.6428437,61.00831,-17.57446,-12.967366,9.063779,45.197838,1.7901038,43.78227,-9.725173,-19.037678,-39.69286,26.293362,6.1008844,-0.91828,-35.712753,1.2926728,-31.25769,18.75565,4.199865,2.2841265,3.185999,-11.26151,35.69084,-4.64161,63.772213,11.504015,-18.7755,-0.8493793,5.834445,-0.3064964,9.390168,8.271984,-14.303146,-7.200354,8.9223795,2.027786,-5.6053843,-12.646472,46.81621,-9.839128,8.056247,-6.103095,5.5093546,9.100097,-18.586948,17.183113,-9.331263,7.0965333,-10.411116,12.207629,1.8265462,0.38495943,-0.41408175,7.1886086
Etoricoxib,-4.4843273,-50.004993,7.7026963,10.518919,6.0941234,-3.5565073,-3.7699502,4.047457,-2.5609226,19.2669,28.064558,10.815136,96.830986,26.520237,-20.883768,-21.372126,17.526728,-3.550036,-3.1744561,-17.447409,4.435374,-0.019520363,-4.185615,-8.117743,-4.1956935,21.798136,17.225235,-41.194153,-60.586487,-20.790686,-13.570692,-14.599225,-32.218082,-19.473476,-7.3766165,22.766987,13.827908,31.927336,17.069683,-0.74731416,0.5070598,-37.392994,-5.2716,31.285973,-8.557523,-4.9426217,7.403825,-12.09247,-7.684177,14.854029,-27.484821,-2.170147,-45.340202,2.2671087,5.434694,6.5514517,-29.381853,4.555658,-10.701181,23.973106,28.671976,2.934064,2.2256844,13.000422,3.9054568,0.63970196,2.445333,-53.14001,13.552655,7.6201687,5.0572767,7.998741,-3.7003398,13.654839,-3.582427,-1.0427939,15.7238655,-8.655131,12.789417,4.7683396,-1.2820396,50.7713,-8.361571,3.979603,66.21484,-3.9719853,36.426697,-9.766772,15.796525,-1.8484292,-2.4439623,6.7847466,-6.344151,-51.561817,18.42583,27.406445,-7.2336965,-8.041459,33.162235,27.847307,7.7792273,-12.096496,1.4120374,-47.06498,-38.861794,56.278267,-4.9514866,-24.458435,-10.19916,3.0020013,9.147203,-48.173923,5.4265695,8.271872,-1.7995921,9.118157,-3.898479,41.596413,-20.648851,12.334968,-3.8423247,-28.803724,-2.5686772,-2.760741,12.707514,-3.4455764,47.505375,4.806758,-20.396112,-24.95991,103.958206,-36.109367,22.224915,5.0589976,43.24824,15.879698,0.099672265,-57.581726,-4.6263785,1.8230413,-15.79867,-4.9222083,-10.001849,-75.28504,-6.564593,31.657885,-8.160213,64.15549,-21.336933,-13.447926,9.777686,50.663925,-2.0195754,43.569096,-12.148929,-14.443993,-33.081875,29.72559,9.087361,-7.529662,-29.388062,2.5431278,-36.69066,26.199574,-1.655597,6.088172,9.125065,-11.317208,38.379417,-3.1596549,62.059593,-4.9055347,-14.34249,-3.9364698,1.2830706,-12.76076,14.530077,1.7237287,-15.325337,-4.525843,9.616082,0.2496517,-1.3673788,-7.945276,47.838364,-5.9590616,7.1466894,-6.4451017,-3.7036505,18.062984,-14.650399,15.684794,-5.5071445,2.0148811,-1.0223922,7.151422,-1.0326306,4.4893885,-5.5446854,12.656814
Nimesulide,5.1288424,-50.97118,5.368791,8.770447,7.5306764,-4.984517,-7.5461984,3.6604419,-1.723357,13.710656,24.619093,13.956591,94.44125,20.429777,-14.165925,-26.85119,15.84403,-1.5070523,-0.5659972,-19.071121,4.8982787,-3.4525657,-2.4081953,-3.0374293,-6.1307435,21.679585,8.228196,-39.09405,-56.48895,-16.180275,-11.3168545,-9.128167,-25.624619,-15.619103,-11.561261,22.920956,6.8288746,24.0572,9.188687,1.4064183,6.7815547,-35.99987,1.8334471,31.950026,-14.748354,-3.8567643,9.284212,-9.6027565,-4.898687,13.2208395,-22.191967,-1.6363171,-45.603893,9.72738,1.3365045,3.3979871,-29.639404,5.63233,-10.194981,19.601515,25.856861,0.9538617,7.153591,11.590258,6.501616,-0.34307688,2.8217685,-50.492584,14.445888,8.5521,8.3871155,12.139271,-5.925912,11.347082,-2.1543815,-1.445929,12.273718,-9.896737,14.307375,5.6683874,6.0911064,47.219166,-7.7743096,2.4716187,66.522125,-6.019155,30.440386,-13.876333,16.384537,-4.3176303,-8.976931,6.456875,-6.467249,-44.01351,19.531,24.342772,0.5843691,-7.7846,35.454086,25.321314,3.7819548,-9.106207,-2.566535,-45.622704,-39.895947,55.857876,-9.464706,-24.421724,-13.39533,6.296131,10.737395,-42.900948,0.5513974,2.4404254,-5.1271753,9.4751835,-3.0695107,37.195225,-14.095431,11.317601,-3.517504,-24.921398,-1.3978958,-6.036896,6.930001,-6.2904162,43.660023,0.57145834,-20.618406,-20.842508,99.16164,-40.86221,18.23387,5.6828966,38.456505,15.870685,3.5874488,-58.84267,0.015432017,-3.2873688,-10.012785,-5.436552,-13.875398,-72.74898,1.2667564,33.44882,-4.275052,62.675407,-17.756083,-10.115122,11.98312,47.955044,-2.28781,43.223125,-7.5307636,-12.900332,-28.908052,19.845352,3.8046002,-2.0029745,-27.054031,-2.9632695,-28.178577,22.979681,1.69276,5.6184735,4.7858334,-6.442439,33.00578,-5.0570703,63.485016,2.2015345,-10.3480625,-7.80034,1.2838182,-10.238133,16.237585,3.5601027,-12.602796,0.43484047,8.008513,2.47004,0.86034375,-3.8011882,50.0809,-4.568172,5.200731,-9.19973,0.6411096,14.863516,-18.088808,16.769035,-4.2797575,0.75769305,4.827714,7.144656,-2.261052,8.169238,-6.8876944,4.8782744
Diclofenac,6.4607363,-59.5992,4.6359663,14.894718,-0.8001066,1.3795271,-7.0928187,3.3535283,-0.91130775,14.987306,36.102962,5.9185867,107.26187,24.515045,-18.761679,-21.344471,16.663254,-6.3495636,-1.1644381,-16.688707,1.0613638,1.153315,-1.451876,1.2345974,-8.93685,25.212793,10.070516,-41.063545,-66.45571,-24.05332,-16.414467,-11.958469,-34.11673,-17.879713,-13.68099,24.709717,7.9988217,28.739788,8.521131,1.8075006,-1.1561201,-45.652634,-4.0674877,33.069576,-11.734423,2.6820972,10.183693,-7.2513022,2.555955,16.11834,-21.825693,-4.6941285,-41.913506,4.7004876,5.0287066,5.4845037,-30.743788,4.5936027,-8.525804,25.564026,27.039152,-1.0386627,4.3767724,8.102944,10.651169,-0.7432878,-0.36529633,-52.78117,9.202378,2.148973,2.9690316,4.1134,2.597774,11.549562,3.107122,-0.58318156,9.896257,-11.784839,7.7558618,13.127888,13.952236,50.599964,-2.6592584,-0.3693925,68.75479,-3.7960453,35.411934,-12.083942,22.75095,-6.7030253,-2.731279,15.288678,-2.0395777,-58.102116,25.808268,28.97477,-1.2923737,-0.5412113,35.847984,32.159054,10.376381,-4.369324,-5.762007,-49.312023,-44.09099,59.93402,-1.9852979,-32.403378,-10.725458,-1.0931153,3.3475862,-43.177593,6.3819957,0.99282956,1.2453942,8.479519,3.0601108,54.246586,-20.80682,10.503556,-2.6042266,-31.103708,1.2059559,1.5648866,13.735842,-2.8100064,47.44559,8.722708,-28.178413,-28.815248,116.685684,-43.896103,31.387018,-1.06428,39.751347,6.8942966,2.0334625,-58.31801,-12.222397,-2.06178,-2.8126543,2.1527016,-7.7578235,-76.90846,-5.3123426,33.221893,-8.2820425,66.21398,-9.628398,-4.4257283,13.778365,57.22435,3.0958424,43.003544,-12.460387,-18.24664,-30.50063,27.330036,4.1612787,-1.6337291,-26.999632,1.6678864,-44.88007,28.607248,4.5826364,15.411055,8.334908,-11.176094,37.895428,-7.495562,66.937416,1.0364935,-9.29545,4.7941813,-2.104923,-8.243537,19.659561,2.0477078,-20.62685,0.34317654,9.827288,-2.4401038,7.596472,-7.3476696,49.97599,-6.4574027,17.07284,1.7262409,-4.8696437,11.990671,-18.658396,11.81524,-6.1745925,1.2903502,-3.5824738,2.56195,-7.405206,1.285415,-11.290618,8.925159
Urea,22.356752,-49.837,7.390045,6.6952553,1.8976294,-4.777937,-5.950303,2.3739367,-5.883162,4.4801736,24.537434,6.539385,78.82197,11.117356,-13.623829,-18.919819,13.92324,-4.237247,2.606108,-17.48657,9.117694,-6.118845,-4.8940463,2.91351,-16.961943,16.861135,-2.2270093,-28.405985,-46.090553,-14.194309,-2.7887096,-0.9830767,-14.920401,0.11196486,-17.011389,21.342098,-2.1351783,18.89295,1.5945103,1.452144,-0.85275257,-37.137238,-1.8107785,24.563248,-15.679223,0.043363392,3.6449883,-0.20143746,-3.908765,6.231207,-20.92564,2.0300064,-37.78976,0.9031152,7.234319,2.1748044,-17.766176,6.0979624,-6.3985415,21.568222,16.431675,1.4380314,12.591605,-3.6248353,12.928464,3.0896208,-3.6780443,-35.907642,11.129962,1.2790178,-1.0311438,3.9190154,-5.161756,4.4355836,1.5713391,-12.867618,12.7189865,-11.867667,8.426567,6.5739303,9.86735,35.07875,-0.60549104,0.92726195,52.085,-8.453902,21.973507,-10.901966,9.228277,-4.439953,-6.958674,6.855416,2.7997265,-35.476986,18.8862,14.19244,-1.5716312,-2.2387202,25.198503,14.945757,4.566868,-9.91846,2.6647415,-42.611694,-33.02297,42.713367,-2.0891309,-28.003557,-16.64549,1.7403429,16.660486,-34.074448,3.1276438,-1.7561281,0.10593504,7.750586,4.0715594,32.097923,-9.4398155,6.599938,-1.57114,-18.027966,6.908539,-2.0531907,0.27912897,-0.33311844,29.710007,7.710348,-17.630451,-20.024134,85.90317,-39.248158,20.830757,1.0384059,24.163164,8.8105135,15.35534,-50.00682,-9.079859,-5.216715,4.9758253,0.66644126,-10.549439,-56.714993,-2.3211274,30.291933,-7.2882705,51.14663,-5.296926,-2.0193756,12.64469,40.59378,0.8645502,31.557121,-2.2117643,-12.3369255,-22.091038,13.0712805,-2.3930326,2.01129,-25.035686,0.7913643,-20.394554,15.918379,4.6086564,2.3539288,2.656665,-2.7043638,24.710772,-9.186427,53.47794,13.734271,-15.443431,2.2278173,5.017385,-3.45432,11.208876,6.2998805,-20.503696,4.2888417,7.2098465,1.1698077,7.1705956,-6.7090125,34.99892,-9.788798,5.1457653,-5.6511545,9.990679,2.9500542,-12.338415,17.546219,-12.513362,-1.1661,-2.411837,11.753694,-5.680066,5.931054,-4.6351194,0.16488284
Polistirene,16.659615,-48.975403,13.644849,11.271324,1.4489981,-3.0343254,-2.536143,4.199193,-9.249534,11.427189,32.42506,4.2700644,90.01694,19.276484,-23.456587,-12.580468,21.399654,-8.253263,-2.7102075,-16.501604,9.064267,-3.8564782,-9.940974,-2.5103788,-13.668428,17.662903,5.36848,-32.19541,-53.35847,-19.61121,-8.027918,-10.695096,-27.488718,-2.0216901,-12.50291,25.544952,9.558137,33.781887,9.7603035,-2.1571457,-13.068927,-43.664993,-11.257352,20.781677,-6.5495853,3.1320596,4.6001506,-5.577563,-5.769465,11.497699,-32.442078,-0.6905971,-41.0604,-9.496042,17.89241,6.821783,-19.45391,7.2024927,-9.199143,28.571417,18.45504,3.5592446,10.465873,-3.2429478,12.064638,5.7009645,-6.327867,-46.543533,10.001767,0.7320335,-9.338333,1.8280556,0.51859504,6.8126802,2.0222614,-15.359917,16.947803,-12.55778,6.2016864,10.57294,5.2172127,43.590714,0.39826337,7.980088,54.557972,-8.74451,35.664387,-11.700517,9.638997,-6.456574,4.106278,8.18731,4.8310585,-47.096928,18.327675,16.047073,-13.298229,0.5229787,24.200226,18.626713,12.41323,-16.92462,5.389765,-48.17481,-34.20261,45.285324,5.489686,-28.76774,-16.864063,-3.9655013,17.485573,-41.624725,14.004214,9.066992,6.542134,10.570984,3.9754393,43.848328,-18.390253,8.313682,-4.3550463,-19.556541,9.786882,0.31470603,7.8622804,1.7778959,35.310345,14.660532,-14.859888,-26.760569,98.38109,-37.32391,30.414948,1.1062176,26.789625,9.524418,13.991107,-50.236473,-17.116646,-1.3249813,3.1399941,0.32181454,-6.6367483,-63.34961,-16.636093,31.52296,-14.545491,57.622368,-9.257305,-8.423656,16.08004,44.875748,1.0384777,36.49333,-9.977881,-15.181994,-29.67864,25.441408,7.3621407,-3.80434,-29.099936,7.2918906,-35.358364,22.617323,0.69800204,1.6507027,5.0284014,-11.818709,32.85126,-7.047011,57.586197,10.644102,-23.26611,8.4241905,1.7232134,-5.8027954,6.7660236,8.883461,-23.228733,-4.4939914,13.360765,-0.7316645,5.317595,-19.176794,35.611195,-13.012691,12.79175,-2.5333934,6.024914,7.154241,-11.830113,14.692014,-14.703209,1.9095235,-11.496422,12.07574,-5.2424936,0.821136,-2.9028068,10.348408
Polietilene,1.202343,-7.2808976,2.8253212,-1.2124414,1.2604514,-2.7857323,-1.1853104,1.8346899,-2.2067723,2.6328173,0.52038646,2.1818047,10.700153,2.7591836,-2.836041,-3.8428912,3.4079528,-0.7577612,-2.6184292,-5.3052797,4.8906717,-1.2816188,-2.229695,-5.861159,-0.6049068,-1.5148585,1.0882962,-5.3428354,-5.121141,-1.625185,2.6578104,-0.118088,0.46543467,-0.685651,-1.444483,0.74519694,-0.00027431996,3.8520293,3.0415802,-0.3884817,0.08004683,-5.1986494,0.70119274,2.9980316,1.1990899,0.19460565,-0.34884024,0.49909285,-6.459727,1.8710492,-3.69665,0.57604355,-7.3911533,-0.8371965,1.4198136,1.7221667,-2.6067162,0.3358119,1.0001898,5.035022,3.6596022,3.518661,1.2050489,-1.1151688,1.5177143,0.6621009,-3.148696,-7.044146,-0.1570206,3.6255915,0.06704028,-0.04761212,0.013392734,-1.2304785,-3.8365393,-1.9517959,5.5195146,-1.2867489,3.0163598,-2.809001,-3.5577574,7.3695693,-0.4572232,2.2351243,8.416946,-6.1675773,4.8605504,1.2713414,-3.2453675,2.12987,-1.8120131,0.26745144,0.5011961,-5.7910285,1.9135345,2.5355499,-3.6606462,-1.3952818,3.4569616,0.014010226,-2.2309988,-5.0713286,2.282115,-6.237616,-2.6433868,6.3141828,2.4835331,-0.011026869,-1.4999292,-0.72410953,3.0960019,-6.0989194,-1.085883,4.716962,0.5828278,2.5624955,0.9862917,0.34288406,-2.003924,4.1581855,-3.740504,-4.6753035,-1.3055921,-1.1406343,-2.1590528,2.0520875,3.7540226,-2.2904048,-1.0926938,-0.792727,11.014423,-5.267629,0.03884773,3.052541,5.2563133,4.7261095,2.9736402,-9.303508,-0.5342968,-0.13373137,0.07095791,-2.2665288,-3.3341634,-8.887998,2.8348198,3.5616786,-2.3431375,7.389685,-6.506536,-5.32747,-2.7181084,2.9485362,0.35418984,4.808511,-0.75915384,-0.6220534,-5.2933836,2.6280737,-0.66062576,-1.6593338,-6.247879,4.380679,0.061282773,0.6931987,0.44957554,-3.2534401,0.062722884,-2.405707,4.476325,2.5013425,8.59767,0.15913989,-2.4934413,-2.4111483,3.7025728,1.0710176,-0.48000228,2.7555566,-1.8712313,-2.146518,0.2427933,-1.4251157,-2.1013856,-1.0653582,5.272735,-4.161342,-3.4137096,-3.3733919,0.54959095,1.1812755,-0.18338263,4.612605,0.70891577,3.1062777,-3.4878263,4.9582806,5.063323,-0.48656884,3.947955,2.417373
PVC,19.308365,-45.8981,13.401256,10.040785,0.78900445,-3.7371786,-2.805845,4.3961253,-10.280096,8.75377,29.44672,4.201457,83.88739,15.990493,-20.903511,-11.876831,20.008774,-7.2988167,-2.5143113,-16.40441,9.407647,-5.071476,-9.313067,-1.2067785,-13.859753,15.676774,1.1512095,-28.3823,-47.926826,-17.006084,-6.5870028,-8.737811,-23.882833,0.8475771,-11.590285,22.905945,7.6113977,30.74998,6.288577,-2.7086442,-12.61877,-40.450787,-8.744873,17.016068,-5.5304,3.8651214,4.7522573,-3.671113,-4.232695,10.632824,-29.841368,-0.74272394,-37.623634,-8.209574,17.903908,5.958736,-18.071398,7.178773,-7.553191,25.935535,15.53296,2.239114,12.3027115,-5.0076437,11.798298,7.0833173,-5.922551,-42.932693,9.394083,0.8458875,-9.774531,1.3773506,0.7120056,5.2153893,2.57271,-15.531621,16.139952,-12.110815,5.3953495,11.057657,6.5154815,40.174942,1.5721109,8.002581,50.089916,-9.867024,32.227036,-11.68587,8.622404,-6.5446396,3.6957994,7.789327,6.0552783,-42.29147,16.732828,14.208499,-12.417553,1.9689022,21.96851,15.48563,11.091118,-17.20044,4.9870706,-45.373653,-31.160229,41.391026,5.790381,-27.014616,-16.504986,-3.7421358,17.708813,-36.53106,13.356024,7.602523,6.5097322,10.319599,4.215883,40.565178,-14.848831,6.798839,-3.7371383,-16.252777,10.980745,-0.30699492,5.6188807,2.3703554,29.942848,14.042975,-12.568929,-23.169905,90.85011,-35.740963,28.500525,1.2961254,23.812216,8.173332,15.987576,-45.936985,-16.187893,-2.3260334,6.801255,0.75495,-6.5302086,-57.62598,-15.861248,29.743069,-13.40677,53.05504,-6.5811896,-7.2418,15.748802,40.551487,2.102015,33.678375,-8.909221,-14.336804,-27.916025,21.36332,5.631955,-1.5754416,-27.866093,5.420408,-31.511652,19.49808,1.8455334,0.37560356,2.7344382,-10.549375,29.350912,-6.9466376,54.113823,13.544983,-21.826427,7.828475,1.3067263,-2.9200068,5.9902077,9.701818,-21.025766,-4.006975,12.039296,0.40416235,5.042562,-18.787096,33.083874,-11.981295,11.694264,-2.7056606,7.3223066,4.043611,-12.382326,13.803864,-13.634341,2.5345986,-10.622639,11.539021,-4.885773,0.58422095,-2.3887627,7.2023664
2_4_5-trichlorophenoxyacetic,9.077038,-56.74815,7.724911,12.217892,1.576433,-1.9583502,-5.216491,4.0957026,-4.1423507,14.964508,33.118145,7.5118513,102.50219,23.759214,-21.571815,-20.47335,18.792072,-5.990235,-0.9036481,-18.277576,5.843722,-1.7733647,-4.228452,-2.2718945,-10.900446,23.61751,10.106801,-40.73549,-62.885887,-22.419209,-11.233371,-10.968743,-31.212938,-13.506612,-13.75338,25.832228,8.881262,30.31209,11.337527,0.3771598,-3.4185965,-44.50835,-5.9761543,32.431175,-12.021652,-0.29275417,7.1728272,-7.5905952,-4.5731854,13.688634,-27.063158,-1.9237945,-45.067497,0.12753351,8.061086,6.0602098,-28.250757,5.231209,-9.281817,27.265081,26.45127,1.6700482,6.9435973,5.3894963,10.145028,1.2429708,-1.6795433,-52.06523,11.84619,3.2208612,0.7793157,4.898021,-1.6825397,11.301393,0.8622755,-6.182356,15.291551,-11.816472,9.601691,9.184479,6.5200715,49.71,-3.709793,3.0047646,67.0901,-6.351355,35.569675,-11.690456,17.450676,-4.0709767,-2.3953207,10.063082,-1.3461475,-53.98908,23.131382,24.967144,-5.8096423,-3.354186,32.573856,27.016478,8.937528,-11.010258,0.948085,-50.933292,-41.360588,56.481667,-1.9599309,-31.156534,-13.798649,-0.26055998,11.062127,-46.779156,7.214736,4.006125,0.6836898,8.864057,1.6512136,46.54229,-20.190569,11.283978,-3.3483388,-28.712383,3.0419173,-0.18181254,10.438655,-1.1318749,44.74512,8.852737,-23.699575,-28.192003,111.50907,-42.116016,28.724827,1.6388345,38.497585,11.595005,7.103496,-58.79711,-10.932798,-1.221621,-5.1555266,-0.8891247,-9.678887,-75.70709,-7.121016,34.77186,-9.690307,65.38404,-13.116108,-7.621432,13.524946,54.28796,0.8144881,43.09191,-10.204856,-17.194984,-32.254326,27.391956,4.817954,-3.3872373,-30.219648,3.0392141,-38.529705,25.391813,1.9360822,8.690741,8.476533,-9.812295,38.251286,-7.229439,65.294464,3.2092938,-15.60485,2.5490055,1.878129,-8.885982,15.144112,3.3267963,-21.786955,-1.2149597,10.608891,-0.8018886,4.442139,-10.009694,47.550465,-9.487853,11.756071,-2.702988,0.9221115,12.627772,-16.808613,16.375889,-9.837108,1.483912,-5.246696,8.454863,-5.047222,2.9842355,-7.300949,9.707435
