Method,EF@1,EF@3,EF@5,EF@10,EF@15,PP-hit@1,PP-hit@3,PP-hit@5,PP-hit@10,PP-hit@15,Silhouette
CAE,0.0,1.5,1.8000000000000003,2.25,1.8000000000000003,0.0,0.6666666666666666,1.0,1.0,1.0,-0.06541310250759125
UMAP_CAE,0.0,1.5,1.8000000000000003,2.25,1.8000000000000003,0.0,0.6666666666666666,0.8333333333333334,1.0,1.0,-0.021116673946380615
PCA_Descriptors,4.5,1.5,2.7,1.8000000000000003,1.8000000000000003,0.0,0.5,1.0,1.0,1.0,-0.06251868231126219
UMAP_Descriptors,0.0,3.0,2.7,1.8000000000000003,1.8000000000000003,0.0,0.8333333333333334,1.0,1.0,1.0,-0.2649924159049988
PCA_Mixed,0.0,3.0,2.7,2.25,1.5,0.0,0.5,1.0,1.0,1.0,-0.03416688492748643
UMAP_Mixed,4.5,3.0,1.8000000000000003,1.8000000000000003,1.8000000000000003,0.0,0.8333333333333334,0.8333333333333334,1.0,1.0,-0.05068233236670494
