SMILES;ExactMW;logP;HBD;HBA;TPSA
CC(C)Cc1ccc(C(C)C(=O)O)cc1;-0.8116023768102909;0.5776104418611936;-0.522203055047075;-1.01140021980107;-0.7746301141608661
COc1ccc2cc([C@H](C)C(=O)O)ccc2c1;-0.7028160249105099;0.5544722884495696;-0.522203055047075;-0.8004921170937379;-0.6641536490804436
O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl;-0.40809129011122974;1.3914808025986742;-0.1892040054518388;-0.8004921170937379;-0.6306396618404455
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1;-0.593864495646577;0.5981006322120866;-0.522203055047075;-0.8004921170937379;-0.5703144848084488
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1;-0.12636033225001242;1.1161052536305778;-0.522203055047075;-0.37867591167907366;-0.40082946362331534
Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1;-0.1537890512319142;-0.12995050666189895;-0.1892040054518388;0.04314029373559058;-0.028943898070907526
Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1;-0.017412903758213402;0.8554700323672147;-0.522203055047075;-0.37867591167907366;-0.2877197566883216
Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1;-0.12192286934764061;1.2728394481300263;-0.8552021046423112;-0.37867591167907366;-0.5038849743863096
CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1Oc1ccccc1;-0.3489396502827511;0.37926539926454655;-0.522203055047075;-0.16776780897174154;-0.04163133609747811
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1;-0.6392806520439636;0.9606824313135865;-0.522203055047075;-1.01140021980107;-0.7746301141608661
CC(C(=O)O)c1cccc(Oc2ccccc2)c1;-0.6483402602785434;0.9519819812568997;-0.522203055047075;-0.8004921170937379;-0.6641536490804436
O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1;-0.4167687828341903;1.178193682730761;-0.522203055047075;-0.5895840143864057;-0.4630697256404548
CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C\c1ccc(S(C)=O)cc1;-0.13084796424464967;1.3923634569522518;-0.522203055047075;-0.8004921170937379;-0.5703144848084488
Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1;-0.5801960767300895;0.02180299541379366;-0.522203055047075;-0.5895840143864057;-0.5113059287037378
Cc1cccc(Nc2ccccc2C(=O)O)c1C;-0.6528073437423829;1.0013097502739419;-0.1892040054518388;-0.8004921170937379;-0.6306396618404455
Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl;-0.40809129011122974;1.6307557885054746;-0.1892040054518388;-0.8004921170937379;-0.6306396618404455
COc1ccc2cc(CCC(C)=O)ccc2c1;-0.7118011874185973;0.7647331648195056;-0.8552021046423112;-0.8004921170937379;-0.9062922068894302
O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O;-0.589346416602329;0.0844588451698482;-0.522203055047075;-0.5895840143864057;-0.5113059287037378
CN1C(C(=O)Nc2ccccn2)=C(O)c2sc(Cl)cc2S1(=O)=O;-0.06324407666844047;0.08754813540736785;-0.1892040054518388;0.04314029373559058;-0.028943898070907356
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1;-0.12636033225001242;1.1161052536305778;-0.522203055047075;-0.37867591167907366;-0.40082946362331534
CC(=O)Oc1ccccc1C(=O)O;-0.9300346006747668;-0.5339666229898808;-0.522203055047075;-0.5895840143864057;-0.4598380197280263
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC;-0.38937264259304444;-0.09749404514608405;-0.1892040054518388;-0.37867591167907366;-0.41208058791102903
Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C;-0.6980817729217016;-0.382452698524445;-0.8552021046423112;-0.37867591167907366;-0.8599710888112899
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O;-0.5117725340337407;0.9155409658020804;-0.1892040054518388;-0.8004921170937379;-0.7368071857042967
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O;-0.08991715322168005;-1.344999880448007;0.4767940937386336;0.04314029373559058;0.37035132133135584
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O;-0.16252842023397318;-1.1593902792386848;0.1437950441433974;-0.16776780897174154;0.12821276352236957
CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O;-0.23067260378242715;-0.817235623748538;-0.1892040054518388;-0.37867591167907366;-0.1832279321864702
CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1;-0.17167876010621277;-1.0794470135004304;0.1437950441433974;-0.16776780897174154;0.12821276352236957
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(=O)[nH]n3C)CS[C@H]12)c1csc(N)n1;0.7678106439578108;-2.3758140719467877;0.4767940937386336;1.7304051153942472;1.3518323762170157
O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O;-0.24413496525013725;-0.36172293056329513;-0.1892040054518388;-0.16776780897174154;-0.32853500543417646
